Deutsch	Перевод	Beispiel	Перевод примера
=== 1–2 ===	 	 	 
sportlich	спортивный	Er ist sehr sportlich.	Он очень спортивный.
der Sportler, – / die Sportlerin, -nen	спортсмен / спортсменка	Die Sportlerin trainiert jeden Tag.	Спортсменка тренируется каждый день.
sich bewegen	двигаться	Man sollte sich täglich bewegen.	Нужно двигаться каждый день.
sich anstrengen	стараться, напрягаться	Streng dich mehr an!	Старайся больше!
das Workout, -s	тренировка	Ich mache jeden Morgen ein Workout.	Я делаю тренировку каждое утро.
ein Workout machen	делать тренировку	Sie macht ein Workout im Fitnessstudio.	Она делает тренировку в фитнес-зале.
der Muskel, -n	мышца	Die Muskeln tun mir weh.	У меня болят мышцы.
die Muskeln trainieren	тренировать мышцы	Er trainiert seine Muskeln im Gym.	Он тренирует мышцы в зале.
das Krafttraining, -s	силовая тренировка	Krafttraining macht stark.	Силовая тренировка делает сильным.
der Wettkampf, -kämpfe	соревнование	Sie nimmt an einem Wettkampf teil.	Она участвует в соревновании.
an einem Wettkampf teilnehmen	участвовать в соревновании	Ich nehme am Wettkampf teil.	Я участвую в соревновании.
die Meisterschaft, -en	чемпионат	Die Meisterschaft findet im Juni statt.	Чемпионат состоится в июне.
der Sieg, -e	победа	Der Sieg war verdient.	Победа была заслуженной.
am besten sein	быть лучшим	Er ist am besten in seiner Klasse.	Он лучший в своём классе.
das Tor, -e	ворота, гол	Er hat ein Tor geschossen.	Он забил гол.
schießen	стрелять, забивать	Der Spieler schießt den Ball ins Tor.	Игрок бьёт мячом в ворота.
ein Tor schießen	забить гол	Sie hat ein Tor geschossen.	Она забила гол.
der Fan, -s	фанат, болельщик	Die Fans jubeln laut.	Болельщики громко ликуют.
die Lieblingsmannschaft, -en	любимая команда	Meine Lieblingsmannschaft hat gewonnen.	Моя любимая команда выиграла.
mutig	смелый	Das war sehr mutig von dir.	Это было очень смело с твоей стороны.
sich wohlfühlen	чувствовать себя хорошо	Ich fühle mich hier wohl.	Я чувствую себя здесь хорошо.
=== Sportarten ===	 	 	 
die Sportart, -en	вид спорта	Welche Sportart magst du?	Какой вид спорта тебе нравится?
Eishockey	хоккей	Im Winter spielen wir Eishockey.	Зимой мы играем в хоккей.
Beachvolleyball	пляжный волейбол	Im Sommer spiele ich Beachvolleyball.	Летом я играю в пляжный волейбол.
Tennis	теннис	Sie spielt gut Tennis.	Она хорошо играет в теннис.
Klettern	скалолазание	Klettern ist ein toller Sport.	Скалолазание — отличный спорт.
Joggen	бег трусцой	Ich gehe jeden Morgen joggen.	Я бегаю каждое утро.
Tauchen	дайвинг, ныряние	Tauchen im Meer ist fantastisch.	Дайвинг в море — это фантастика.
Yoga	йога	Yoga hilft bei Stress.	Йога помогает при стрессе.
=== 3 ===	 	 	 
überzeugen	убеждать	Er hat mich überzeugt.	Он меня убедил.
überreden	уговаривать	Sie hat ihn zum Mitmachen überredet.	Она уговорила его участвовать.
