Infinitiv	Präsens (er/sie/es)	Präteritum	Perfekt	Перевод	Beispiel	Перевод примера
abfahren	fährt ab	fuhr ab	ist abgefahren	уезжать	Der Zug fährt um 8 Uhr ab.	Поезд отправляется в 8 часов.
abgeben	gibt ab	gab ab	hat abgegeben	сдавать, отдавать	Bitte geben Sie die Hausaufgabe ab.	Пожалуйста, сдайте домашнее задание.
abhängen	hängt ab	hing ab	hat abgehangen	зависеть	Das hängt vom Wetter ab.	Это зависит от погоды.
abnehmen	nimmt ab	nahm ab	hat abgenommen	худеть, снимать	Sie hat fünf Kilo abgenommen.	Она похудела на пять килограмм.
abschließen	schließt ab	schloss ab	hat abgeschlossen	запирать, завершать	Schließ bitte die Tür ab.	Запри, пожалуйста, дверь.
abwägen	wägt ab	wägte/wog ab	hat abgewägt/abgewogen	взвешивать, обдумывать	Man muss die Vor- und Nachteile abwägen.	Нужно взвесить все за и против.
abwaschen	wäscht ab	wusch ab	hat abgewaschen	мыть (посуду)	Ich wasche das Geschirr ab.	Я мою посуду.
an sein	ist an	war an	ist an gewesen	быть включённым	Das Licht war die ganze Nacht an.	Свет был включён всю ночь.
anbieten	bietet an	bot an	hat angeboten	предлагать	Er bietet mir seine Hilfe an.	Он предлагает мне свою помощь.
anfangen	fängt an	fing an	hat angefangen	начинать	Der Kurs fängt um 9 Uhr an.	Курс начинается в 9 часов.
angeben	gibt an	gab an	hat angegeben	указывать, хвастаться	Bitte geben Sie Ihren Namen an.	Пожалуйста, укажите ваше имя.
ankommen	kommt an	kam an	ist angekommen	прибывать	Wann kommt der Zug an?	Когда прибывает поезд?
annehmen	nimmt an	nahm an	hat angenommen	принимать	Ich nehme dein Angebot an.	Я принимаю твоё предложение.
anrufen	ruft an	rief an	hat angerufen	звонить	Ich rufe dich morgen an.	Я позвоню тебе завтра.
ansehen	sieht an	sah an	hat angesehen	смотреть на	Sieh mich bitte an.	Посмотри на меня, пожалуйста.
ansprechen	spricht an	sprach an	hat angesprochen	обращаться к	Er hat mich auf der Straße angesprochen.	Он обратился ко мне на улице.
anwenden	wendet an	wendete/wandte an	hat angewendet/angewandt	применять	Man kann diese Regel hier anwenden.	Здесь можно применить это правило.
anziehen	zieht an	zog an	hat angezogen	надевать, одевать	Zieh dir eine Jacke an!	Надень куртку!
